"";"sex";"age";"period";"CancerCM";"POP"
"501";1;13;33;68;2213414
"502";1;13;34;65;2199179
"503";1;13;35;54;2168844
"504";1;13;36;59;2142936
"505";1;14;1;145;2167846
"506";1;14;2;101;2173042
"507";1;14;3;138;2167663
"508";1;14;4;142;2164826
"509";1;14;5;133;2202701
"510";1;14;6;128;2162627
"511";1;14;7;118;2131155
"512";1;14;8;97;2106467
"513";1;14;9;112;2016268
"514";1;14;10;108;1915400
"515";1;14;11;74;1862532
"516";1;14;12;91;1827229
"517";1;14;13;99;1861434
"518";1;14;14;79;1906975
"519";1;14;15;81;1946450
"520";1;14;16;74;1788169
"521";1;14;17;64;1691577
"522";1;14;18;55;1654030
"523";1;14;19;62;1693423
"524";1;14;20;78;1670937
"525";1;14;21;71;1758165
"526";1;14;22;74;1784294
"527";1;14;23;67;1851631
"528";1;14;24;63;1954763
"529";1;14;25;65;1960885
"530";1;14;26;62;2011644
"531";1;14;27;73;2021693
"532";1;14;28;65;1990963
"533";1;14;29;60;2059148
"534";1;14;30;67;2070682
"535";1;14;31;66;2080123
"536";1;14;32;67;2101013
"537";1;14;33;69;2160961
"538";1;14;34;61;2241051
"539";1;14;35;80;2205556
"540";1;14;36;40;2175420
"541";1;15;1;160;2090576
"542";1;15;2;152;2172079
"543";1;15;3;141;2179318
"544";1;15;4;128;2176425
"545";1;15;5;129;2176953
"546";1;15;6;143;2215743
"547";1;15;7;116;2176820
"548";1;15;8;121;2149534
"549";1;15;9;109;2127010
"550";1;15;10;112;2038599
"551";1;15;11;91;1931498
"552";1;15;12;121;1877750
"553";1;15;13;102;1841536
"554";1;15;14;88;1876526
"555";1;15;15;84;1923034
"556";1;15;16;90;1963025
"557";1;15;17;75;1804746
"558";1;15;18;73;1709141
"559";1;15;19;69;1671307
"560";1;15;20;74;1719224
"561";1;15;21;81;1703611
"562";1;15;22;83;1794063
"563";1;15;23;65;1822163
"564";1;15;24;68;1888678
"565";1;15;25;68;1991805
"566";1;15;26;71;1998013
"567";1;15;27;67;2048685
"568";1;15;28;99;2058349
"569";1;15;29;71;2025818
"570";1;15;30;72;2070156
"571";1;15;31;68;2079026
"572";1;15;32;58;2088441
"573";1;15;33;72;2109321
"574";1;15;34;74;2155172
"575";1;15;35;73;2247514
"576";1;15;36;58;2212250
"577";1;16;1;156;2047164
"578";1;16;2;206;2075960
"579";1;16;3;165;2158236
"580";1;16;4;123;2167279
"581";1;16;5;144;2167141
"582";1;16;6;159;2167686
"583";1;16;7;141;2206848
"584";1;16;8;130;2172026
"585";1;16;9;143;2146324
"586";1;16;10;136;2130433
"587";1;16;11;111;2039883
"588";1;16;12;99;1934125
"589";1;16;13;83;1881381
"590";1;16;14;96;1847347
"591";1;16;15;90;1884280
"592";1;16;16;100;1932640
"593";1;16;17;85;1974512
"594";1;16;18;95;1819139
"595";1;16;19;78;1724824
"596";1;16;20;72;1691553
"597";1;16;21;76;1742570
"598";1;16;22;91;1727413
"599";1;16;23;83;1818266
"600";1;16;24;95;1843347
"601";1;16;25;73;1907589
"602";1;16;26;92;2010163
"603";1;16;27;62;2015138
"604";1;16;28;79;2064535
"605";1;16;29;81;2072256
"606";1;16;30;91;2058593
"607";1;16;31;78;2079680
"608";1;16;32;82;2088508
"609";1;16;33;98;2097914
"610";1;16;34;74;2120892
"611";1;16;35;73;2162590
"612";1;16;36;79;2255035
"613";1;17;1;161;2009499
"614";1;17;2;148;2054479
"615";1;17;3;174;2082759
"616";1;17;4;193;2165123
"617";1;17;5;151;2174735
"618";1;17;6;150;2172544
"619";1;17;7;148;2171505
"620";1;17;8;150;2212650
"621";1;17;9;151;2177000
"622";1;17;10;134;2161643
"623";1;17;11;125;2139132
"624";1;17;12;118;2052828
"625";1;17;13;127;1950631
"626";1;17;14;126;1902548
"627";1;17;15;110;1872855
"628";1;17;16;101;1914256
"629";1;17;17;118;1967777
"630";1;17;18;98;2016509
"631";1;17;19;100;1863701
"632";1;17;20;78;1772618
"633";1;17;21;96;1738435
"634";1;17;22;106;1787454
"635";1;17;23;86;1769520
"636";1;17;24;72;1855353
"637";1;17;25;84;1876228
"638";1;17;26;87;1938024
"639";1;17;27;84;2037595
"640";1;17;28;84;2039019
"641";1;17;29;83;2084088
"642";1;17;30;99;2080294
"643";1;17;31;76;2070726
"644";1;17;32;87;2091748
"645";1;17;33;85;2100557
"646";1;17;34;92;2098079
"647";1;17;35;82;2130204
"648";1;17;36;71;2172167
"649";1;18;1;179;1961661
"650";1;18;2;172;2010225
"651";1;18;3;181;2052470
"652";1;18;4;161;2078357
"653";1;18;5;184;2158921
"654";1;18;6;173;2164399
"655";1;18;7;174;2158589
"656";1;18;8;154;2157421
"657";1;18;9;155;2195653
"658";1;18;10;149;2142172
"659";1;18;11;135;2114682
"660";1;18;12;165;2096078
"661";1;18;13;140;2015686
"662";1;18;14;114;1914222
"663";1;18;15;124;1871551
"664";1;18;16;129;1840038
"665";1;18;17;105;1883124
"666";1;18;18;107;1939780
"667";1;18;19;108;1987095
"668";1;18;20;102;1843621
"669";1;18;21;90;1740355
"670";1;18;22;84;1715157
"671";1;18;23;97;1767919
"672";1;18;24;106;1753359
"673";1;18;25;100;1842240
"674";1;18;26;73;1868764
"675";1;18;27;98;1936622
"676";1;18;28;93;2040098
"677";1;18;29;104;2047260
"678";1;18;30;91;2085654
